,Country or territory,Total length of land borders,Unnamed: 2,No. of distinct land borders,No. of distinct land neighbours,neighbor list
136,Nigeria,"4,047","2,515",4,4,"Benin, Cameroon, Chad, Niger"
137,North Macedonia,766,476,5,5,"Albania, Bulgaria, Greece, Kosovo, Serbia"
138,Norway,"2,551","1,585",3,3,"Finland, Sweden, Russia"
139,Oman,"1,374",854,6,3,"Saudi Arabia, United Arab Emirates (4), Yemen"
140,Pakistan,"6,774","4,209",4,4,"Afghanistan, India, Iran, People's Republic of China"
141,Palau,0,0,0,0,nan
142,Palestine[24],466,290,3,3,"Egypt, Israel, Jordan"
143,Panama,555,345,2,2,"Colombia, Costa Rica"
144,Papua New Guinea,820,510,1,1,Indonesia
145,Paraguay,"3,920","2,440",3,3,"Argentina, Bolivia, Brazil"
146,Peru,"5,536","3,440",5,5,"Bolivia, Brazil, Chile, Colombia, Ecuador"
147,Philippines,0,0,0,0,nan
148,Poland,"2,788","1,732",7,7,"Belarus, Czech Republic, Germany, Lithuania, Russia, Slovakia, Ukraine"
149,Portugal,"1,214",754,1,1,Spain
150,Qatar,60,37,1 (2),1 (2),Saudi Arabia
151,Romania,"2,508","1,558",6,5,"Bulgaria, Hungary, Moldova, Serbia, Ukraine (2)"
152,Russia,"20,017","12,438",17,16,"Azerbaijan, Belarus, People's Republic of China (2), Estonia, Finland, Georgia, Kazakhstan, North Korea, Latvia, Lithuania, Mongolia, Norway, Poland, Ukraine, South Ossetia, Abkhazia"
153,Rwanda,893,555,4,4,"Burundi, Democratic Congo (Kinshasa), Tanzania, Uganda"
154,Saint Kitts and Nevis,0,0,0,0,nan
155,Saint Lucia,0,0,0,0,nan
156,Saint Vincent and the Grenadines,0,0,0,0,nan
157,Samoa,0,0,0,0,nan
158,San Marino,39,24,1,1,Italy
159,Sao Tome and Principe,0,0,0,0,nan
160,Saudi Arabia,"4,431","2,753",7,7,"Iraq, Jordan, Kuwait, Oman, Qatar, United Arab Emirates, Yemen"
161,Senegal,"2,640","1,640",5,5,"Gambia, Guinea, Guinea-Bissau, Mali, Mauritania"
162,Serbia,"2,027","1,260",8,8,"Bosnia and Herzegovina (2), Bulgaria, Croatia, Hungary, Kosovo, Montenegro, North Macedonia, Romania"
163,Seychelles,0,0,0,0,nan
164,Sierra Leone,958,595,2,2,"Guinea, Liberia"
165,Singapore,0,0[40],0[40],0[40],nan
166,Slovakia,"1,524",947,5,5,"Austria, Czech Republic, Hungary, Poland, Ukraine"
167,Slovenia,"1,334",829,4,4,"Austria, Croatia, Italy, Hungary"
168,Solomon Islands,0,0,0,0,nan
169,Somalia,"2,340","1,450",3,3,"Djibouti, Ethiopia, Kenya"
170,South Africa,"4,862","3,021",6,6,"Botswana, Eswatini, Lesotho, Mozambique (2), Namibia, Zimbabwe"
171,South Ossetia[41],466,290,2,2,"Russia, Georgia"
172,South Sudan,"4,797","2,981",6,6,"Central African Republic, Democratic Congo (Kinshasa), Ethiopia, Kenya, Sudan, Uganda"
173,Spain,"1,918","1,192",9,5,"Andorra, France (3), Gibraltar, Portugal, Morocco (3)"
174,Sri Lanka,0,0,0,0,nan
175,Sudan,"6,764","4,203",7,7,"Central African Republic, Chad, Egypt, Eritrea, Ethiopia, Libya, South Sudan"
